fips,svg
22091,"M 353.46298,264.147 L 353.71898,268.65 L 349.91498,268.872 L 350.54598,267.933 L 350.54598,266.991 L 350.49198,266.27 L 350.27098,265.153 L 350.60498,264.314 L 353.46298,264.147"
22093,"M 353.24098,274.919 L 353.11098,276.416 L 352.81398,276.628 L 353.03398,277.705 L 353.18798,278.291 L 353.28198,278.489 L 350.70798,278.427 L 349.72598,276.402 L 353.24098,274.919"
22095,"M 355.83198,273.232 L 357.24798,273.855 L 355.90898,275.875 L 354.98598,276.578 L 354.50798,276.776 L 354.39098,276.966 L 354.40898,277.204 L 354.57498,278.382 L 353.28198,278.489 L 353.18798,278.291 L 353.03398,277.705 L 352.81398,276.628 L 353.11098,276.416 L 353.30498,274.207 L 353.93598,274.506 L 354.05698,274.527 L 354.16998,274.51 L 354.30598,274.424 L 354.45298,274.27 L 354.59298,274.055 L 354.76098,273.684 L 354.83198,273.622 L 355.08498,273.486 L 355.83198,273.232"
22097,"M 339.77798,266.802 L 339.94198,266.929 L 340.36798,267.654 L 340.76098,268.623 L 340.81098,269.056 L 340.75698,270.809 L 340.63498,271.283 L 341.08098,271.895 L 341.55498,272.571 L 340.06698,272.643 L 339.98198,272.576 L 339.42398,272.377 L 338.75598,272.67 L 338.12498,273.058 L 336.45198,274.027 L 336.45198,273.743 L 336.00098,272.265 L 335.21798,271.738 L 332.45898,271.841 L 332.81198,271.256 L 332.92798,271.125 L 333.29698,271.057 L 334.99198,270.994 L 335.45598,270.593 L 335.91598,269.2 L 335.90298,268.704 L 335.87498,268.001 L 335.38398,266.978 L 339.77798,266.802"
22099,"M 340.63498,271.283 L 341.24798,271.26 L 341.95598,271.932 L 342.10898,272.297 L 342.15798,272.549 L 342.18598,273.224 L 342.16198,273.379 L 342.18598,273.454 L 342.24898,273.631 L 342.64598,274.292 L 342.78898,274.41 L 342.93398,274.478 L 343.16298,274.496 L 343.51498,274.464 L 343.72298,274.506 L 343.91598,274.591 L 345.07898,276.263 L 345.19998,276.556 L 345.20998,276.726 L 343.87598,276.799 L 341.93298,276.235 L 341.83298,276.2 L 341.43298,276.114 L 341.11398,276.128 L 340.96398,276.168 L 340.75698,276.294 L 339.19298,276.83 L 338.70498,276.839 L 338.12498,273.058 L 338.75598,272.67 L 339.42398,272.377 L 339.98198,272.576 L 340.06698,272.643 L 341.55498,272.571 L 341.08098,271.895 L 340.63498,271.283M 344.12298,278.105 L 346.53498,277.791 L 346.62898,278.034 L 347.23798,279.192 L 347.40398,279.354 L 347.89198,279.449 L 348.00898,279.449 L 348.23798,279.57 L 348.37798,279.715 L 348.46398,279.882 L 348.47298,280.368 L 348.44598,281.198 L 347.12598,280.598 L 345.27398,279.742 L 344.12298,278.105"
22101,"M 344.12298,278.105 L 345.27398,279.742 L 347.12598,280.598 L 348.44598,281.198 L 348.68898,282.126 L 346.66098,284.163 L 346.41298,284.163 L 345.93998,284.073 L 343.71798,283.591 L 343.62698,283.154 L 343.55998,282.789 L 343.40698,282.302 L 342.58198,281.022 L 342.45098,280.932 L 341.27598,280.9 L 341.10798,280.923 L 339.73798,281.324 L 341.51398,279.642 L 342.41998,278.322 L 344.12298,278.105"
22103,"M 357.11798,267.649 L 361.72798,267.956 L 363.57998,270.507 L 363.59898,270.524 L 363.67098,270.597 L 364.36098,271.999 L 364.37798,272.238 L 364.27498,272.499 L 364.24698,272.607 L 364.25598,272.676 L 364.60898,273.346 L 364.71698,273.554 L 364.95898,273.837 L 365.04098,273.932 L 365.06898,273.95 L 365.10898,273.977 L 365.13598,273.996 L 365.15698,273.991 L 365.67198,273.96 L 364.59998,274.4 L 364.52798,274.355 L 363.90898,274.153 L 361.73398,273.981 L 361.47598,274.081 L 360.43098,274.708 L 359.19498,274.239 L 357.64098,273.915 L 357.11798,267.649"
22105,"M 353.67398,264.14 L 355.88298,263.999 L 355.96398,265.22 L 356.31098,265.509 L 357.11298,267.419 L 357.11798,267.649 L 357.64098,273.915 L 357.24798,273.855 L 355.83198,273.232 L 355.62598,273.184 L 355.48598,273.121 L 355.35498,273.014 L 354.97698,272.625 L 354.11098,271.426 L 353.84098,270.75 L 353.71898,268.65 L 353.46298,264.147 L 353.67398,264.14"
22107,"M 342.51498,249.156 L 344.38498,249.08 L 344.43898,248.977 L 344.62798,248.842 L 345.83098,248.454 L 346.32198,248.372 L 346.38598,248.372 L 346.52698,248.489 L 346.52998,248.769 L 346.52998,248.781 L 347.62998,250.066 L 345.38998,253.335 L 344.14198,254.985 L 344.03398,255.179 L 342.21698,255.007 L 341.80698,253.344 L 342.51498,249.156"
22109,"M 349.48298,280.945 L 351.44398,280.057 L 351.51998,280.021 L 351.66898,280.039 L 354.43598,282.677 L 356.55098,284.849 L 356.71198,285.019 L 356.77898,285.21 L 356.84698,285.812 L 356.56398,287.228 L 354.85098,287.224 L 353.93598,288.247 L 354.06598,288.959 L 351.78498,289.469 L 346.73398,287.098 L 346.45298,286.877 L 346.07198,286.475 L 346.08898,286.382 L 346.70598,286.044 L 347.46398,285.606 L 347.57098,285.484 L 347.52798,285.231 L 347.37298,284.839 L 347.30498,284.691 L 347.25998,284.646 L 346.66098,284.163 L 348.68898,282.126 L 349.48298,280.945"
22111,"M 335.82098,239.034 L 335.72298,240.715 L 336.11398,241.824 L 336.14598,242.505 L 336.06498,242.681 L 336.01598,242.721 L 335.79398,243.076 L 334.37898,244.46 L 334.26698,244.537 L 333.96998,244.628 L 332.30598,244.682 L 332.26098,243.555 L 330.57498,242.622 L 330.22298,242.545 L 329.75898,242.491 L 328.86698,242.517 L 328.75798,239.224 L 335.82098,239.034"
22113,"M 338.56598,277.345 L 338.63498,280.306 L 337.91698,280.63 L 337.68798,280.761 L 337.13398,281.14 L 336.73198,281.517 L 336.68698,281.77 L 336.89398,282.23 L 337.14698,282.722 L 337.35398,282.753 L 338.42698,282.784 L 337.96298,283.204 L 337.90298,283.172 L 337.23198,283.172 L 336.65198,283.258 L 336.64298,283.258 L 336.04698,283.527 L 335.61798,283.844 L 335.32498,283.925 L 335.29898,283.929 L 335.22698,283.933 L 335.02798,283.947 L 334.97398,283.947 L 332.15698,283.578 L 331.50798,283.487 L 331.48998,283.487 L 331.47298,281.991 L 331.30598,277.583 L 329.93098,277.641 L 331.16998,276.89 L 331.29198,276.926 L 333.42398,277.362 L 333.62198,277.295 L 333.83898,277.195 L 334.06898,277.034 L 334.94298,276.037 L 335.77298,276.078 L 336.69998,276.384 L 337.41198,276.88 L 338.56598,277.345"
22115,"M 323.87798,260.718 L 326.68098,260.862 L 327.62298,261.114 L 327.81298,261.204 L 328.38998,262.024 L 328.51598,265.131 L 328.61498,266.693 L 326.90598,266.901 L 325.18998,266.897 L 322.01198,266.982 L 320.49798,267.208 L 320.45698,263.12 L 320.42998,263.098 L 320.48398,262.394 L 320.61098,261.993 L 322.17898,260.766 L 323.87798,260.718"
22117,"M 361.52098,263.63 L 362.70598,263.549 L 362.72898,263.949 L 362.59298,264.63 L 362.48198,264.878 L 362.41298,264.887 L 362.32298,264.9 L 362.29698,264.928 L 362.15198,265.531 L 361.98498,266.355 L 361.85098,267.035 L 361.72798,267.956 L 357.11798,267.649 L 357.11298,267.419 L 356.31098,265.509 L 355.96398,265.22 L 355.88298,263.999 L 356.85198,263.94 L 361.52098,263.63"
22119,"M 320.51598,239.422 L 323.22898,239.35 L 323.35598,243.253 L 323.90398,243.23 L 324.06698,244.298 L 324.03998,244.933 L 324.41798,246.281 L 324.43298,246.601 L 323.47698,247.21 L 322.00298,247.255 L 321.25898,247.268 L 321.16798,246.138 L 321.09698,242.734 L 320.98398,241.333 L 320.67698,241.013 L 320.29898,240.449 L 320.09698,240.089 L 320.09698,239.895 L 320.18598,239.426 L 320.51598,239.422"
22121,"M 345.25498,268.988 L 345.54298,269.051 L 345.62898,269.092 L 347.56698,273.203 L 345.67898,273.306 L 345.24598,272.761 L 344.01998,271.43 L 343.64598,271.151 L 345.25498,268.988"
22123,"M 344.47498,238.678 L 344.14198,239.43 L 343.74898,240.584 L 343.69898,240.963 L 343.53298,242.392 L 343.20898,243.637 L 343.10598,243.951 L 342.79798,244.245 L 341.58998,244.294 L 341.11698,243.384 L 340.66698,243.239 L 341.06298,242.126 L 342.57198,239.03 L 342.63598,238.753 L 344.47498,238.678"
22125,"M 341.66198,264.761 L 346.74098,264.522 L 346.58398,265.414 L 346.25998,266.901 L 345.81398,267.667 L 345.69998,267.82 L 345.53798,268.326 L 345.51698,268.749 L 345.54298,269.051 L 345.25498,268.988 L 344.91098,268.068 L 344.69998,267.753 L 344.64198,267.726 L 342.86098,267.392 L 341.64398,266.757 L 341.57698,266.721 L 341.49498,266.644 L 341.46898,266.572 L 341.39698,265.148 L 341.66198,264.761M 340.67598,264.228 L 341.42898,264.837 L 340.40198,264.571 L 340.67598,264.228"
22127,"M 328.16898,250.468 L 333.63498,250.283 L 333.74398,253.104 L 333.26198,254.817 L 330.45798,254.912 L 330.47198,255.521 L 330.43098,256.044 L 326.62298,256.183 L 327.29898,254.078 L 327.49698,253.173 L 327.51598,253.015 L 327.44398,252.059 L 327.21298,251.226 L 326.81998,250.5 L 328.16898,250.468"
