fips,svg
22025,"M 337.09298,252.974 L 338.33098,252.348 L 338.48898,252.397 L 338.76498,252.573 L 339.15698,252.97 L 339.41798,253.371 L 339.57998,253.578 L 340.09998,253.434 L 340.37798,253.231 L 340.77698,252.79 L 340.97398,252.456 L 340.99098,252.348 L 341.54098,252.609 L 341.80698,253.344 L 342.21698,255.007 L 340.70598,255.196 L 340.61698,255.277 L 339.43698,256.697 L 339.36398,256.823 L 338.95398,258.487 L 338.89498,258.855 L 338.94498,260.812 L 338.98198,260.93 L 339.33198,261.421 L 338.71998,261.119 L 338.49398,261.063 L 338.30098,261.097 L 338.17398,261.227 L 338.09798,261.425 L 338.20498,261.686 L 338.33698,261.845 L 338.37298,261.931 L 338.16098,262.057 L 337.63798,262.024 L 337.58798,261.971 L 337.39098,261.168 L 337.39098,260.736 L 337.09298,252.974"
22027,"M 325.91898,239.277 L 328.75798,239.224 L 328.86698,242.517 L 327.26298,244.83 L 324.03998,244.933 L 324.06698,244.298 L 323.90398,243.23 L 323.35598,243.253 L 323.22898,239.35 L 325.91898,239.277"
22029,"M 342.21698,255.007 L 344.03398,255.179 L 343.86098,255.475 L 343.85298,255.485 L 342.67698,257.847 L 342.64998,257.9 L 342.60898,257.987 L 342.60498,257.996 L 342.19498,261.357 L 341.92898,262.746 L 341.66198,264.761 L 341.39698,265.148 L 341.42898,264.837 L 340.67598,264.228 L 340.75698,264.034 L 340.81098,263.846 L 341.10498,262.353 L 340.97798,262.201 L 340.77698,262.097 L 340.72098,262.111 L 340.35098,262.06 L 339.82898,261.921 L 339.57998,261.764 L 339.33198,261.421 L 338.98198,260.93 L 338.94498,260.812 L 338.89498,258.855 L 338.95398,258.487 L 339.36398,256.823 L 339.43698,256.697 L 340.61698,255.277 L 340.70598,255.196 L 342.21698,255.007"
22031,"M 319.43498,249.554 L 320.15898,250.099 L 320.57798,251.482 L 321.26798,252.556 L 321.38498,252.7 L 322.36698,253.425 L 321.45698,254.574 L 316.67998,254.701 L 315.14298,252.984 L 314.79198,250.198 L 315.78698,250.18 L 316.37398,249.762 L 316.75698,249.409 L 316.79298,249.297 L 316.77098,249.22 L 316.80098,249.03 L 317.34298,248.39 L 317.40098,248.342 L 317.55998,248.242 L 317.76598,248.197 L 317.95498,248.237 L 318.84298,248.535 L 319.06898,248.702 L 319.32098,248.973 L 319.42498,249.13 L 319.43498,249.554"
22033,"M 350.54598,267.933 L 349.91498,268.872 L 349.18998,269.739 L 349.22698,271.521 L 349.43798,272.049 L 350.33398,272.774 L 348.91398,273.153 L 347.56698,273.203 L 345.62898,269.092 L 345.95798,268.438 L 346.07198,268.353 L 350.54598,267.933"
22035,"M 345.53798,238.637 L 345.18298,239.21 L 345.06998,239.62 L 345.08798,239.724 L 345.95298,243.644 L 346.01698,243.798 L 346.02898,243.82 L 346.06298,243.86 L 346.07498,243.884 L 346.09798,243.902 L 346.20098,243.992 L 346.22798,244.015 L 346.57098,244.122 L 346.64798,244.298 L 342.69198,244.821 L 342.79798,244.245 L 343.10598,243.951 L 343.20898,243.637 L 343.53298,242.392 L 343.69898,240.963 L 343.74898,240.584 L 344.14198,239.43 L 344.47498,238.678 L 345.53798,238.637"
22037,"M 348.02198,264.459 L 350.60498,264.314 L 350.27098,265.153 L 350.49198,266.27 L 350.54598,266.991 L 350.54598,267.933 L 346.07198,268.353 L 345.95798,268.438 L 345.62898,269.092 L 345.54298,269.051 L 345.51698,268.749 L 345.53798,268.326 L 345.69998,267.82 L 345.81398,267.667 L 346.25998,266.901 L 346.58398,265.414 L 346.74098,264.522 L 348.02198,264.459"
22039,"M 331.10698,266.527 L 333.45998,265.086 L 334.57698,265.509 L 335.38398,266.978 L 335.87498,268.001 L 335.90298,268.704 L 335.91598,269.2 L 335.45598,270.593 L 334.99198,270.994 L 333.29698,271.057 L 332.92798,271.125 L 332.81198,271.256 L 332.45898,271.841 L 330.91798,271.887 L 330.93698,271.801 L 331.00798,271.728 L 331.10698,271.553 L 331.42798,270.773 L 331.40398,270.714 L 331.25598,270.579 L 331.16098,268.226 L 331.14298,267.745 L 331.10698,266.527"
22041,"M 342.51498,249.156 L 341.80698,253.344 L 341.54098,252.609 L 340.99098,252.348 L 340.97398,252.456 L 340.77698,252.79 L 340.37798,253.231 L 340.09998,253.434 L 339.57998,253.578 L 339.41798,253.371 L 339.15698,252.97 L 338.76498,252.573 L 338.48898,252.397 L 338.33098,252.348 L 338.18398,252.05 L 337.92698,251.14 L 338.49898,250.789 L 338.47198,250.455 L 338.41298,250.347 L 338.17398,250.027 L 339.03998,249.116 L 339.52998,247.985 L 340.47298,246.862 L 340.87898,246.624 L 342.56398,246.534 L 342.51498,249.156"
22043,"M 326.62298,256.183 L 330.43098,256.044 L 330.47198,255.521 L 330.45798,254.912 L 333.26198,254.817 L 333.38798,256.45 L 333.74798,257.445 L 334.26698,258.167 L 334.76798,258.717 L 335.24398,258.855 L 334.07698,259.154 L 330.50298,260.168 L 330.20998,260.208 L 329.87598,260.091 L 329.80098,260.037 L 329.65198,259.373 L 329.48898,258.558 L 326.62298,256.183"
